,name,jun,url,score,dinner,lunch
120,てまえの一歩,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13138517/,3.36, 4000 4999,- -
121,吉田パン ルミネ北千住店,パン,https://tabelog.com/tokyo/A1324/A132402/13228924/,3.36,- -,0 999
122,きく鮨,寿司,https://tabelog.com/tokyo/A1324/A132402/13195690/,3.36, 5000 5999, 1000 1999
123,民芸茶屋 佐留丹（みんげいちゃや さるたん）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13034464/,3.36, 3000 3999,- -
124,大国ホルモン 北千住駅東口店,ホルモン,https://tabelog.com/tokyo/A1324/A132402/13118040/,3.36, 2000 2999,- -
125,やっちゃbar,ビストロ,https://tabelog.com/tokyo/A1324/A132402/13157412/,3.36, 3000 3999,- -
126,ドンレミーアウトレット 北千住店（Domremy Outlet）,カフェ・喫茶,https://tabelog.com/tokyo/A1324/A132402/13060556/,3.35,0 999,0 999
127,コウゲツsince1978（宏月）,お好み焼き,https://tabelog.com/tokyo/A1324/A132402/13032952/,3.35, 2000 2999,- -
128,ナラン,インド料理,https://tabelog.com/tokyo/A1324/A132402/13059785/,3.35, 2000 2999,0 999
129,ここのつ 2号店,定食・食堂,https://tabelog.com/tokyo/A1324/A132402/13257354/,3.35, 2000 2999,0 999
130,千住 しげ,寿司,https://tabelog.com/tokyo/A1324/A132402/13234222/,3.35, 15000 19999,- -
131,虎や（とらや）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13008685/,3.35, 2000 2999,- -
132,山形牛一頭買いITAMAE焼肉 美美,焼肉,https://tabelog.com/tokyo/A1324/A132402/13175136/,3.34, 4000 4999,- -
133,貝と魚と炉ばたのバンビ,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13198125/,3.34, 3000 3999,- -
134,熊本牧場直営 岩部商店,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13233654/,3.34, 3000 3999,- -
135,歩きはじめ,おでん,https://tabelog.com/tokyo/A1324/A132402/13199174/,3.34, 4000 4999,- -
136,萌蔵,割烹・小料理,https://tabelog.com/tokyo/A1324/A132402/13077318/,3.34, 5000 5999,- -
137,アガリコ 1/3 オリエンタルビストロ 北千住店,タイ料理,https://tabelog.com/tokyo/A1324/A132402/13138698/,3.34, 2000 2999,- -
138,ボケロン（boqueron）,バル・バール,https://tabelog.com/tokyo/A1324/A132402/13113193/,3.34, 4000 4999,- -
139,呑肴処　きたせん楓（楓）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13123502/,3.34, 6000 7999,- -
140,ビストロ オオカミ,ビストロ,https://tabelog.com/tokyo/A1324/A132402/13132054/,3.33, 4000 4999, 1000 1999
141,炭火野菜巻串と焼売 博多うずまき 北千住店,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13253181/,3.33, 3000 3999,- -
142,牡蠣と燻屋 かつを,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13214285/,3.33, 3000 3999,- -
143,北千住ひつじ肉の店OZ,その他肉料理,https://tabelog.com/tokyo/A1324/A132402/13223477/,3.33, 5000 5999,- -
144,ミバショウ 北千住マルイ店,ジュースバー,https://tabelog.com/tokyo/A1324/A132402/13227000/,3.33,0 999,0 999
145,Cabana（カバナ）,スペイン料理,https://tabelog.com/tokyo/A1324/A132402/13238637/,3.33, 4000 4999,- -
146,たから家,和菓子,https://tabelog.com/tokyo/A1324/A132402/13122291/,3.33,0 999,0 999
147,トラットリアエン 北千住 （trattoria en）,イタリアン,https://tabelog.com/tokyo/A1324/A132402/13190208/,3.33, 2000 2999,0 999
148,八重寿（やえす）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13033982/,3.33, 3000 3999,- -
149,八文字,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13264478/,3.33, 2000 2999,- -
150,五月家,割烹・小料理,https://tabelog.com/tokyo/A1324/A132402/13081813/,3.33, 6000 7999, 1000 1999
151,雑賀 北千住駅前店（サイカ）,焼鳥,https://tabelog.com/tokyo/A1324/A132402/13119632/,3.32, 3000 3999,- -
152,チャイヤイ（CHAI YAI）,タイ料理,https://tabelog.com/tokyo/A1324/A132402/13008716/,3.32, 3000 3999,0 999
153,えびかに家,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13116907/,3.32, 3000 3999,- -
154,千住葡萄酒（せんじゅぶどうしゅ）,バル・バール,https://tabelog.com/tokyo/A1324/A132402/13174001/,3.32, 10000 14999,- -
155,やなぎ家（そば処　柳家）,そば,https://tabelog.com/tokyo/A1324/A132402/13097000/,3.32, 2000 2999, 1000 1999
156,ラーメン鷹の目 北千住店,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13267069/,3.31,0 999, 1000 1999
157,久助,焼鳥,https://tabelog.com/tokyo/A1324/A132402/13075091/,3.31, 2000 2999,- -
158,武蔵家 北千住西口店,ラーメン,https://tabelog.com/tokyo/A1324/A132402/13241684/,3.31,0 999,0 999
159,肉酒場ビストロ 男前 北千住店,ビストロ,https://tabelog.com/tokyo/A1324/A132402/13204023/,3.31, 3000 3999, 1000 1999
160,美富士,中華料理,https://tabelog.com/tokyo/A1324/A132402/13062936/,3.31,- -,0 999
161,Italian Dining Vittoria 北千住店（イタリアン ダイニング ヴィットリア）,イタリアン,https://tabelog.com/tokyo/A1324/A132402/13051546/,3.31, 3000 3999, 1000 1999
162,うるま島ターチ（ウルマジマターチ）,沖縄料理,https://tabelog.com/tokyo/A1324/A132402/13143598/,3.31, 3000 3999,0 999
163,かいだんのうえ,寿司,https://tabelog.com/tokyo/A1324/A132402/13234917/,3.31, 5000 5999,- -
164,マルイシ増英（まるいし・ますえい）,おでん,https://tabelog.com/tokyo/A1324/A132402/13008720/,3.31, 2000 2999,0 999
